序号,礼包码,礼包物品列表,是否通用,生效时间,失效时间,礼包类型
1,0326D97F6vCPe,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
2,0326q2qxtjS2H,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
3,032euhFZ4DUwd,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
4,032fprWf5b9ak,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
5,032hsdqgbzXjz,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
6,032hvnNi9mSLT,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
7,032LiptOgVtKa,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
8,032mKE7gLZ6is,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
9,032pFr2VDURr4,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
10,032RDuSNdwhsQ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
11,032sew5wEQmWx,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
12,032tmgfZVeGiz,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
13,032UT2XYcNR4d,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
14,032v8bx72ds68,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
15,032VmxqPOUmNP,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
16,032XfnUsUVhSB,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
17,032XGADTStCQY,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
18,0333qtB3CQWSa,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
19,0334LtwBqXzJZ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
20,0338hRNh7icTP,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
21,033Bt3kaVJmOE,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
22,033hTp2yuvKx9,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
23,033mEvBenXhQp,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
24,033MZuNyjKnmw,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
25,033R2giB4Ew5K,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
26,033spjDDmGvfH,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
27,033UKNumq4Uhm,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
28,033uyGm3iKLU6,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
29,033WZkGKfDfL4,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
30,033zCCVpYnMac,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
31,0348nHciUB7bn,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
32,034bSgWiJ5dzO,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
33,034cafqzMMeMu,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
34,034CmqUw7hiXY,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
35,034db2FVfx7r5,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
36,034GJyk6xBAXF,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
37,034iMsFqGY5qj,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
38,034J2curZGwjA,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
39,034N7dGxH9t4j,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
40,034pgi44bVO5z,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
41,034Sdq8i8G6DU,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
42,034tgxpAj7Nqt,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
43,034UiSTWLr2HP,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
44,034xFSOLuvfX7,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
45,035ANiNM3NNAk,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
46,035be2vjRjjT7,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
47,035BhL3BUUnAb,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
48,035eKqVYnRym4,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
49,035fWacwzayTL,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
50,035iMY2EhUuqG,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
