序号,礼包码,礼包物品列表,是否通用,生效时间,失效时间,礼包类型
1,0322qGAGr7dfy,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
2,0323G8hWBH6OT,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
3,0323gBm9GPzmr,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
4,0323kfcqB6uDm,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
5,0324cncMmyNAR,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
6,0324gK4ZCfJAb,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
7,0324kk6fpnere,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
8,0325JXANUUgZm,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
9,03269C84wPfaB,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
10,0326bhAMvp8bf,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
11,0326LMHxXf2si,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
12,0326LvZhKYTFp,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
13,0326XOckwM8qL,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
14,0326xyfH6JkmZ,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
15,0327QWjHC6OEr,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
16,0328D9gWg7umr,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
17,0328fv4WTaMQQ,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
18,0328LqWcxvyYM,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
19,0328M7vaUEDh7,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
20,0328UYQOAez6d,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
21,0329nyajGSMwe,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
22,0329u5V4O8PHQ,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
23,032A4Z6TC6f2B,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
24,032a94E9JNvgA,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
25,032aaCMR5QGRR,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
26,032aFwCxHZQRQ,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
27,032agtehw5BOi,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
28,032AQ2nRsNvWL,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
29,032b2qQDLXEPH,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
30,032B6g9UCgbcF,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
31,032BdP7emM8Cd,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
32,032BOMsNrZZaZ,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
33,032Bsi444tK8q,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
34,032cJRFM69hAK,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
35,032CM84zWywid,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
36,032cwL5nkjviz,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
37,032d5u9GWQy5c,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
38,032Dc4vXdFvj8,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
39,032dj7W9bufZd,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
40,032DNvw5mNj6V,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
41,032dOMN8xJ2DQ,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
42,032dqc9cRDxGs,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
43,032DWXcFOa7WW,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
44,032dZmmPhJRMS,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
45,032e7USgCJpLO,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
46,032Ed7YvTZyDu,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
47,032EerkXiGTRR,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
48,032EGnmuzrRRx,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
49,032EKc9NDaxpu,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
50,032EQmBTX8EAw,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
51,032eRYDqh4qHf,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
52,032fg4M2nHMWp,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
53,032fiPaJSJAFW,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
54,032fiZbJcKyJC,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
55,032FvmQ5mRnUY,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
56,032G4gPh8sMyP,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
57,032g5CdFe2tcH,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
58,032GLtFvspZ8W,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
59,032GrJPuiuW8b,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
60,032gU86PPVk6W,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
61,032gUtk4sM8fg,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
62,032H3CRrYzK4F,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
63,032h5E88DAkNm,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
64,032H6YOhOxSNs,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
65,032H7ZTMtWrX3,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
66,032ht6H6LU5n8,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
67,032hTerNcqO3W,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
68,032HXXQJsEvGb,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
69,032hYjJ58xyNu,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
70,032i5LZafZqju,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
71,032iadfjxJE8u,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
72,032ikNBhXgJtC,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
73,032injLK4pP48,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
74,032isns36BmV8,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
75,032itxfiGcuQX,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
76,032jFkVUWUzRC,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
77,032jkzvk8aSia,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
78,032jtvezqEbb7,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
79,032jun4naJQ22,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
80,032JZbrF8SgFu,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
81,032k2RrZpkaLw,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
82,032k5pmvMRDhZ,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
83,032kWkTsi4WXR,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
84,032kYmrr2AzLT,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
85,032LcmgJKFBnY,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
86,032Leh7ku3LmK,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
87,032LJ4TiqYuDs,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
88,032mbtD2OqnxD,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
89,032mfydyjiy3K,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
90,032mgh8yNqwNh,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
91,032mnyk8uJKCs,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
92,032MTwen4MeNH,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
93,032mvsUYvAvN9,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
94,032MzbKzyGJJK,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
95,032N2bErJmSAj,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
96,032nh6UEZDXRX,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
97,032nkRfeaJL9j,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
98,032NxcfTPZdL5,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
99,032OijqGnrm2k,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
100,032Oin4G3a7gi,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
101,032P2SLRnDKDN,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
102,032p94idwX5mc,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
103,032Pb7Oy6yMsX,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
104,032PEFJEb8y9W,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
105,032PpwLejA5y6,20000298|2;22000159|2;20000080|300;40000003|100000,1,"2021-03-28 00:00:00","2027-03-29 00:00:00",4
