#v110,,,,新增,新增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,使用类型ID,掉落货币数值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#物品编号,类型,图标编号,名字,背包名称,角色,颜色,装备类别,装备类别2,最小物防,最大物防,最小魔防,最大魔防,最小物理攻击,最大物理攻击,最小魔法攻击,最大魔法攻击,最小道术攻击,最大道术攻击,幸运,准确,闪避,HP上限,MP上限,HP上限百分比,MP上限百分比,暴击率,暴击力,掉落守护,等级限制,出售价格,转生等级限制,品质,职业,性别,帮会捐献值,摧毁提示,装备内功,回收金币,回收经验,回收朱雀,回收元宝,是否可使用,能否摧毁,能否存入仓库,能否推送,背包是否显示使用标志,限定次数用完之后是否显示推送,功能配置,功能参数,物品描述,获取途径,绑定类型,一键使用,礼包id,特殊属性表id,外观资源,贵重物品,物防附加值,魔防附加值,物理攻击附加值,魔法攻击附加值,道术攻击附加值,准确附加值,闪避附加值,HP上限附加最大值,MP上限附加最大值,暴击几率附加最大值,暴击力附加最大值,韧性附加最大值,附加值最小个数,附加值最大个数,物品爆率权重,装备套装ID,套装属性描述,触发BUFF ID,装备种类,神装动画名称,非消耗类道具使用功能ID,掉落是否公告,无极属性特殊属性表ID
#type_id,sub_type,icon_id,name,name,0,color,equip_type,equip_type2,ac(物防),ac2,mac魔防,mac2,dc（战攻）,dc2,mc（魔法攻击）,mc2,sc（道术攻击）,sc2,luck,accuracy,dodge,max_hp,max_mp,max_hp_pres,max_mp_pres,baoji_prob,baoji_pres,drop_luck,needlevel,price,need_zslevel,equip_level,job,gender,equip_contribute,destory_show,add_power,recycle_money,recycle_exp,recycle_xuefu,,can_use,can_destroy,can_depot,can_push,bag_show,times_limit,func_id,func_params,desp,source,bind_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100001,1,11100001,古月刀,武·1级,0,1,1,0,0,0,0,0,7,10,4,8,5,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100,0,0,1,0,0,3520,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11100002,1,11101011,新手甲(男),通用·1级,0,1,3,0,4,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,200,0,1,0,0,2880,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11100003,1,11101012,新手甲(女),通用·1级,0,1,3,0,4,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,201,0,1,0,0,2880,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11100004,1,11100004,青虹刹,元·1级,0,1,1,0,0,0,0,0,7,10,4,8,5,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,101,0,0,1,0,0,3520,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11100005,1,11100005,银龙扇,术·1级,0,1,1,0,0,0,0,0,7,10,4,8,5,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,102,0,0,1,0,0,3520,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11100006,1,11101011,新手甲(男),通用·10级,0,1,3,0,7,10,5,7,2,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,200,0,1,0,0,3520,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11100007,1,11101012,新手甲(女),通用·10级,0,1,3,0,7,10,5,7,2,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,201,0,1,0,0,3520,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101001,1,11100001,厚背刀,武·10级,0,3,1,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,100,0,0,1,0,0,3520,5,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101002,1,11101011,硬皮索衣(男),武·10级,0,3,3,0,1,2,1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,100,200,0,1,0,0,2960,4,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101003,1,11101012,软皮甲衣(女),武·10级,0,3,3,0,1,2,1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,100,201,0,1,0,0,2960,4,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101004,1,11101004,铜皮盔,武·10级,0,3,2,0,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,100,0,0,1,0,0,2400,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101005,1,11101005,青铜项链,武·10级,0,3,4,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,100,0,0,1,0,0,2400,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101006,1,11101006,金质手镯,武·10级,0,3,5,6,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,100,0,0,1,0,0,2400,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101007,1,11101007,金质戒指,武·10级,0,3,7,8,1,2,1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,100,0,0,1,0,0,2400,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101008,1,11101008,豹皮腰带,武·10级,0,3,10,0,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,100,0,0,1,0,0,2400,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101009,1,11101009,镶钉皮靴,武·10级,0,3,9,0,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,100,0,0,1,0,0,2400,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101010,1,11101010,安陵刀,武·20级,0,3,1,0,0,0,0,0,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,100,0,0,1,0,0,7040,18,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101011,1,11101011,镶嵌皮甲(男),武·20级,0,3,3,0,3,3,2,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,100,200,0,1,0,0,5920,14,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101012,1,11101012,镶钉皮衣(女),武·20级,0,3,3,0,3,3,2,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,100,201,0,1,0,0,5920,14,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101013,1,11101004,傀儡头盔,武·20级,0,3,2,0,2,3,2,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,100,0,0,1,0,0,4800,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101014,1,11101005,金刚项链,武·20级,0,3,4,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,100,0,0,1,0,0,4800,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
